City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Hun,LY,29.1268,15.9477,52.95,61,0,12.12,clear sky
300,Kaya,BF,13.0917,-1.0844,84.99,11,1,5.32,clear sky
301,Wahlstedt,DE,53.95,10.2167,40.59,79,40,3.58,scattered clouds
302,Pangnirtung,CA,66.1451,-65.7125,9.59,99,100,3.91,light snow
303,Azul,AR,-36.777,-59.8585,47.05,88,55,4.25,broken clouds
304,Ouadda,CF,8.0777,22.4007,72.32,59,34,2.91,scattered clouds
305,Teguise,ES,29.0605,-13.564,61.02,72,40,11.5,scattered clouds
306,Samarai,PG,-10.6167,150.6667,86.0,67,97,10.2,overcast clouds
307,Siyabuswa,ZA,-25.1132,29.0445,69.1,52,75,0.98,broken clouds
308,Pareora,NZ,-44.4871,171.2132,63.18,77,100,5.82,overcast clouds
309,Lebu,CL,-37.6167,-73.65,55.49,80,5,26.49,clear sky
310,Dehloran,IR,32.6941,47.2679,57.4,26,0,4.74,clear sky
311,Hovd,MN,48.0056,91.6419,17.1,38,59,6.98,broken clouds
312,Praya,CV,14.9215,-23.5087,69.15,77,10,17.47,clear sky
313,Mitu,CO,1.1983,-70.1733,73.65,96,98,1.86,light rain
314,Kargopol,RU,61.5071,38.9456,14.72,95,15,4.59,few clouds
315,Sotouboua,TG,8.5667,0.9833,79.9,62,81,3.85,broken clouds
316,Turochak,RU,52.2576,87.1224,24.91,92,99,12.8,light snow
317,Portland,US,45.5234,-122.6762,67.33,46,40,9.22,scattered clouds
318,Bambanglipuro,ID,-7.95,110.2833,78.67,85,99,2.95,overcast clouds
319,Rocha,UY,-34.4833,-54.3333,59.34,49,22,7.45,few clouds
320,Teya,RU,60.3778,92.6267,4.5,99,100,1.05,overcast clouds
321,Saint George,US,37.1041,-113.5841,83.62,12,0,5.99,clear sky
322,Nouadhibou,MR,20.931,-17.0347,62.69,76,0,25.21,clear sky
323,Chiang Klang,TH,19.2938,100.8617,75.6,86,76,2.01,broken clouds
324,Marienburg,PL,54.0359,19.0266,42.12,65,7,5.37,clear sky
325,Tambura,SS,5.6,27.4667,77.4,34,1,1.88,clear sky
326,Valparaiso,CL,-33.0393,-71.6273,65.48,53,0,1.14,clear sky
327,Nuevitas,CU,21.5453,-77.2644,78.03,75,11,9.24,few clouds
328,Fare,PF,-16.7,-151.0167,81.57,72,44,11.27,light rain
329,Bend,US,44.0582,-121.3153,66.99,44,0,10.36,clear sky
330,Kirakira,SB,-10.4544,161.9205,84.0,74,61,3.69,broken clouds
331,Aykhal,RU,66.0,111.5,0.23,81,100,3.31,overcast clouds
