City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Anloga,GH,2022-03-24 22:26:48,5.7947,0.8973,83.26,80,74,8.08
157,Ahipara,NZ,2022-03-24 22:26:48,-35.1667,173.1667,65.89,86,100,16.84
158,Sorland,NO,2022-03-24 22:26:49,67.667,12.6934,34.75,58,100,6.6
159,College,US,2022-03-24 22:26:49,64.8569,-147.8028,31.98,41,75,11.5
160,Sao Filipe,CV,2022-03-24 22:17:47,14.8961,-24.4956,70.88,70,1,12.75
161,Tessalit,ML,2022-03-24 22:26:50,20.1986,1.0114,81.3,9,73,6.91
162,Zhezkazgan,KZ,2022-03-24 22:26:50,47.8043,67.7144,17.42,99,62,3.15
163,Hamilton,US,2022-03-24 22:26:01,39.1834,-84.5333,53.89,51,100,14.97
164,Caravelas,BR,2022-03-24 22:26:51,-17.7125,-39.2481,76.33,86,16,5.37
165,Narsaq,GL,2022-03-24 22:17:46,60.9167,-46.05,35.82,72,100,6.08
166,Melilla,ES,2022-03-24 22:26:51,35.2937,-2.9383,61.18,88,100,2.3
167,Huarmey,PE,2022-03-24 22:26:52,-10.0681,-78.1522,73.38,77,87,10.0
168,Vostok,RU,2022-03-24 22:25:01,46.4856,135.8833,22.5,91,100,3.94
169,Olinda,BR,2022-03-24 22:24:52,-8.0089,-34.8553,80.24,74,100,8.79
170,Ayagoz,KZ,2022-03-24 22:26:53,47.9714,80.4392,13.21,91,90,7.56
171,Alofi,NU,2022-03-24 22:26:53,-19.0595,-169.9187,75.09,94,100,9.22
172,Sistranda,NO,2022-03-24 22:26:54,63.7256,8.834,44.56,88,100,39.84
173,Acarau,BR,2022-03-24 22:26:54,-2.8856,-40.12,78.42,85,34,8.55
174,Black River,JM,2022-03-24 22:26:54,18.0264,-77.8487,83.17,54,27,19.89
175,Chokurdakh,RU,2022-03-24 22:19:01,70.6333,147.9167,-14.39,100,94,2.46
176,Kozhva,RU,2022-03-24 22:26:55,65.1073,57.0459,15.85,93,100,9.91
177,Waipawa,NZ,2022-03-24 22:26:55,-41.4122,175.5153,55.62,96,100,20.47
178,Hefei,CN,2022-03-24 22:24:23,31.8639,117.2808,55.42,100,40,11.18
179,Ust-Maya,RU,2022-03-24 22:26:56,60.4167,134.5333,-3.59,100,92,1.68
180,Cap Malheureux,MU,2022-03-24 22:26:56,-19.9842,57.6142,77.47,85,12,13.42
181,Lakes Entrance,AU,2022-03-24 22:26:57,-37.8811,147.981,62.17,74,7,5.32
182,Katsuura,JP,2022-03-24 22:19:05,35.1333,140.3,52.45,63,4,5.44
183,Tashigang,BT,2022-03-24 22:26:57,27.3331,91.5542,57.11,50,68,4.54
184,Sobolevo,RU,2022-03-24 22:27:58,54.4299,31.8996,21.88,97,34,4.92
185,Yumen,CN,2022-03-24 22:27:58,40.2833,97.2,33.58,47,99,8.05
186,Saint-Hyacinthe,CA,2022-03-24 22:27:59,45.6168,-72.9491,44.58,91,100,4.59
187,Arraial Do Cabo,BR,2022-03-24 22:19:04,-22.9661,-42.0278,76.89,81,0,25.01
188,Carauari,BR,2022-03-24 22:27:59,-4.8828,-66.8958,78.64,94,92,2.57
189,Kununurra,AU,2022-03-24 22:23:18,-15.7667,128.7333,80.58,89,95,4.61
190,Saskylakh,RU,2022-03-24 22:28:00,71.9167,114.0833,-24.14,100,97,3.31
191,Kontagora,NG,2022-03-24 22:28:00,10.3999,5.4695,85.89,14,83,5.28
192,Tres Arroyos,AR,2022-03-24 22:28:01,-38.3739,-60.2798,63.97,91,100,6.55
193,Anadyr,RU,2022-03-24 22:28:01,64.75,177.4833,7.3,84,20,6.71
194,Carnarvon,AU,2022-03-24 22:28:02,-24.8667,113.6333,80.67,57,89,5.75
195,Taltal,CL,2022-03-24 22:28:02,-25.4,-70.4833,67.46,74,22,5.95
196,Vestmannaeyjar,IS,2022-03-24 22:28:02,63.4427,-20.2734,42.93,75,100,2.26
197,Dwarka,IN,2022-03-24 22:28:03,22.2394,68.9678,76.51,78,3,10.63
198,Flinders,AU,2022-03-24 22:28:03,-34.5833,150.8552,65.48,94,97,4.0
199,Arlit,NE,2022-03-24 22:28:04,18.7369,7.3853,81.7,11,89,2.82
200,Novomykolayivka,UA,2022-03-24 22:28:04,47.9781,35.9102,35.8,60,0,5.08
201,Saint-Joseph,RE,2022-03-24 22:28:04,-21.3667,55.6167,73.78,83,22,8.28
202,Ixtapa,MX,2022-03-24 22:28:05,20.7,-105.2,74.43,57,0,11.5
203,Tifton,US,2022-03-24 22:28:05,31.4505,-83.5085,64.36,53,100,3.44
204,Aklavik,CA,2022-03-24 22:18:55,68.2191,-135.0107,-2.2,60,0,5.75
205,Noumea,NC,2022-03-24 22:28:06,-22.2763,166.4572,82.38,99,100,8.55
206,Tecpan,GT,2022-03-24 22:27:24,14.7623,-90.9947,60.8,74,100,2.86
207,Rio Gallegos,AR,2022-03-24 22:24:01,-51.6226,-69.2181,59.05,36,40,5.75
208,Bengbu,CN,2022-03-24 22:28:07,32.9408,117.3608,55.45,97,100,9.06
209,Ayr,GB,2022-03-24 22:23:56,55.4627,-4.6339,46.31,93,100,3.44
210,Praia,CV,2022-03-24 22:25:18,14.9215,-23.5087,68.54,73,20,21.85
211,North Bend,US,2022-03-24 22:28:07,43.4065,-124.2243,68.23,82,0,9.22
212,Sumenep,ID,2022-03-24 22:28:08,-7.0167,113.8667,78.33,86,100,3.76
213,Port Hedland,AU,2022-03-24 22:21:40,-20.3167,118.5667,80.65,74,48,9.22
214,Chaykovskaya,RU,2022-03-24 22:28:09,58.1279,55.5378,33.69,88,93,12.84
215,Aden,YE,2022-03-24 22:24:30,12.7794,45.0367,78.51,81,45,10.29
216,Phan Thiet,VN,2022-03-24 22:23:54,10.9333,108.1,78.15,87,4,4.9
217,Priargunsk,RU,2022-03-24 22:28:09,50.3691,119.1012,24.17,86,100,4.85
218,Thompson,CA,2022-03-24 22:20:14,55.7435,-97.8558,37.56,70,75,11.5
219,Chilca,PE,2022-03-24 22:28:10,-12.5211,-76.7372,69.64,85,63,4.43
220,Guerrero Negro,MX,2022-03-24 22:28:11,27.9769,-114.0611,83.46,15,3,11.52
221,Xaxim,BR,2022-03-24 22:28:11,-26.9617,-52.5347,63.46,98,98,2.35
222,Berdigestyakh,RU,2022-03-24 22:28:11,62.0989,126.6992,-5.35,100,95,1.77
223,Zhangjiakou,CN,2022-03-24 22:28:12,40.81,114.8794,34.84,47,100,7.31
224,Petropavlovsk-Kamchatskiy,RU,2022-03-24 22:28:12,53.0452,158.6483,21.79,68,0,8.95
225,Kalemie,CD,2022-03-24 22:28:13,-5.9475,29.1947,70.52,85,64,1.05
226,Luganville,VU,2022-03-24 22:28:13,-15.5333,167.1667,82.09,80,99,2.84
227,Ostrovnoy,RU,2022-03-24 22:28:13,68.0531,39.5131,11.68,87,100,11.41
228,Carballo,ES,2022-03-24 22:24:51,43.213,-8.691,54.82,74,0,4.23
229,Ambatofinandrahana,MG,2022-03-24 22:29:14,-20.55,46.8,61.07,94,38,1.74
230,Ojinaga,MX,2022-03-24 22:29:14,29.5667,-104.4167,79.57,14,0,11.5
231,El Sauzal,MX,2022-03-24 22:29:15,31.9,-116.6833,67.42,76,13,7.54
232,Kaya,BF,2022-03-24 22:29:16,13.0917,-1.0844,86.7,11,1,5.53
233,Batemans Bay,AU,2022-03-24 22:29:17,-35.7167,150.1833,65.91,90,96,5.91
234,Myitkyina,MM,2022-03-24 22:29:17,25.3833,97.4,62.92,97,21,1.14
235,Zabol,AF,2022-03-24 22:29:17,32.25,67.25,54.07,27,0,6.67
236,Aykhal,RU,2022-03-24 22:29:18,66.0,111.5,-3.26,84,100,5.08
237,Prince Rupert,CA,2022-03-24 22:29:18,54.3161,-130.3201,48.29,53,0,19.57
238,Haysyn,UA,2022-03-24 22:29:19,48.8114,29.3898,38.86,68,64,8.12
239,Patacamaya,BO,2022-03-24 22:29:19,-17.2333,-67.9167,51.98,73,86,5.06
240,Monrovia,LR,2022-03-24 22:29:19,6.3005,-10.7969,79.79,89,14,7.34
241,Tiznit,MA,2022-03-24 22:29:20,29.5833,-9.5,52.63,91,80,11.14
242,Mar Del Plata,AR,2022-03-24 22:29:20,-38.0023,-57.5575,66.87,67,0,4.61
243,Mosquera,CO,2022-03-24 22:27:17,4.7059,-74.2302,64.49,59,40,6.91
244,San Andres,CO,2022-03-24 22:29:21,12.5847,-81.7006,84.22,70,20,16.11
245,Naregal,IN,2022-03-24 22:29:21,15.5833,75.8167,77.36,61,58,4.63
246,Sarakhs,IR,2022-03-24 22:29:22,36.5449,61.1577,48.34,71,79,6.91
247,Kirakira,SB,2022-03-24 22:29:22,-10.4544,161.9205,82.44,76,70,2.35
248,Broken Hill,AU,2022-03-24 22:29:23,-31.95,141.4333,55.11,62,0,10.36
249,Huescar,ES,2022-03-24 22:29:23,37.811,-2.5412,47.26,89,100,20.0
250,Nelson,NZ,2022-03-24 22:29:23,-41.2833,173.2833,70.29,86,100,1.01
251,Lyudinovo,RU,2022-03-24 22:29:25,53.8664,34.4478,34.16,93,100,3.96
252,Skibbereen,IE,2022-03-24 22:29:25,51.55,-9.2667,47.7,82,97,2.62
253,Ghanzi,BW,2022-03-24 22:29:26,-21.5667,21.7833,73.78,51,100,1.36
254,Gushikawa,JP,2022-03-24 22:29:26,26.3544,127.8686,69.39,68,100,17.27
255,Puri,IN,2022-03-24 22:29:27,19.8,85.85,79.32,89,47,16.58
256,Kropotkin,RU,2022-03-24 22:29:27,45.4375,40.5756,35.65,93,100,6.42
257,Salinopolis,BR,2022-03-24 22:29:27,-0.6136,-47.3561,76.55,91,99,10.96
258,Jalu,LY,2022-03-24 22:29:28,29.0331,21.5482,55.31,39,2,6.02
259,Saint-Augustin,CA,2022-03-24 22:29:28,51.226,-58.6502,24.84,87,49,5.28
260,Felipe Carrillo Puerto,MX,2022-03-24 22:29:29,19.5833,-88.05,87.35,51,67,3.49
261,Iqaluit,CA,2022-03-24 22:29:29,63.7506,-68.5145,15.53,61,75,16.11
262,Port Keats,AU,2022-03-24 22:29:29,-14.25,129.55,81.0,82,80,3.04
263,Gbely,SK,2022-03-24 22:29:30,48.718,17.1163,46.81,57,0,5.1
264,Puerto Escondido,MX,2022-03-24 22:29:30,15.85,-97.0667,83.89,68,75,6.11
265,Haines Junction,CA,2022-03-24 22:29:31,60.7522,-137.5108,39.15,41,100,8.05
266,Pimentel,PE,2022-03-24 22:29:31,-6.8367,-79.9342,77.29,57,0,18.41
267,Bonavista,CA,2022-03-24 22:29:31,48.6499,-53.1147,28.67,79,95,31.36
268,Itarema,BR,2022-03-24 22:21:43,-2.9248,-39.9167,78.62,83,46,8.84
269,Matadi,CD,2022-03-24 22:29:32,-5.8167,13.45,78.51,92,35,3.69
270,Guerande,FR,2022-03-24 22:29:32,47.3291,-2.4283,53.02,75,0,10.76
271,Hovd,MN,2022-03-24 22:29:33,48.0056,91.6419,18.23,35,78,7.11
272,Bonthe,SL,2022-03-24 22:29:33,7.5264,-12.505,78.4,86,54,7.34
273,Piriyapatna,IN,2022-03-24 22:29:34,12.3397,76.0992,71.8,85,95,2.84
274,Cartagena,CO,2022-03-24 22:29:17,10.3997,-75.5144,85.62,62,20,12.66
275,Udachnyy,RU,2022-03-24 22:30:34,66.4167,112.4,-5.73,94,100,3.94
276,Turukhansk,RU,2022-03-24 22:30:35,65.8167,87.9833,8.76,95,94,7.74
277,Mabaruma,GY,2022-03-24 22:30:35,8.2,-59.7833,73.45,97,100,5.66
278,Leshukonskoye,RU,2022-03-24 22:30:35,64.8989,45.7622,17.06,79,9,9.53
279,Suntar,RU,2022-03-24 22:30:36,62.1444,117.6319,9.07,96,99,2.75
280,Ayorou,NE,2022-03-24 22:30:36,14.7308,0.9174,89.58,10,20,11.72
281,Port Blair,IN,2022-03-24 22:30:37,11.6667,92.75,79.43,78,5,2.98
282,Sargatskoye,RU,2022-03-24 22:30:37,55.6101,73.4972,11.97,96,67,8.19
283,Xining,CN,2022-03-24 22:30:38,36.6167,101.7667,32.54,61,99,2.13
284,Mulanje,MW,2022-03-24 22:30:38,-16.0316,35.5,69.37,93,2,4.5
285,Komsomolskiy,UZ,2022-03-24 22:30:39,40.4272,71.7189,41.72,87,75,4.61
286,Baghdad,IQ,2022-03-24 22:30:39,33.3406,44.4009,51.71,37,0,2.3
287,Half Moon Bay,US,2022-03-24 22:29:26,37.4636,-122.4286,78.89,73,20,24.16
288,Severnyy,RU,2022-03-24 22:30:40,50.677,36.5532,41.04,33,0,8.95
289,Mayya,RU,2022-03-24 22:30:41,61.7333,130.2811,-0.69,95,95,3.09
290,Avera,US,2022-03-24 22:30:42,33.194,-82.5271,64.45,62,100,6.17
291,Gannan,CN,2022-03-24 22:30:46,47.9147,123.5031,33.08,98,100,10.02
292,Morondava,MG,2022-03-24 22:30:46,-20.2833,44.2833,80.1,81,18,1.77
293,Antalaha,MG,2022-03-24 22:30:47,-14.9003,50.2788,75.38,91,100,5.3
