City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
672,Ambilobe,MG,74.35,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
673,Puerto Baquerizo Moreno,EC,79.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
677,Quang Ngai,VN,77.72,clear sky,15.1167,108.8,Central Hotel
678,Bundaberg,AU,84.22,broken clouds,-24.85,152.35,Takalvan Motel
680,Mongo,TD,80.08,few clouds,12.1844,18.693,Résidences du Programme FIDA
681,Boma,GH,73.26,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
683,Lorengau,PG,83.26,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
688,Cumana,VE,76.46,few clouds,10.4635,-64.1775,Posada Acuarela Los Roques
689,Feijo,BR,74.25,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
691,Sarangani,PH,82.35,overcast clouds,5.4033,125.4636,Ballistic Islet
